"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"건조기","세탁기","견적","정수기","소리","딤채","삼성","쓰다","받다","모델"
"세탁기","주다","세탁기","엘지","나다","삼성","엘지","궁금하다","좋다","주다"
"사다","사용","부탁","주다","소음","제품","고민","통돌이","삼성","구입"
"건조","엘지","드리다","쪽지","쓰다","김치","도어","추가","구입","사용"
"오다","빨래","티비","드리다","정상","김치냉장고","모델","빨래","엘지","삼성"
"엘지","시간","모델","부탁","사다","좋다","기능","동영상","세탁기","이사"
"가스","드럼","구매","렌탈","엘지","스탠드","많다","나오다","할인","셰프"
"인터넷","아기","추천","혜택","느끼다","보관","리터","먼지","도어","신청"
"삼성","돌리다","삼성","퓨리케어","드럼세탁기","쓰다","등급","차이","가전","부르다"
"이사","싶다","엘지","현금","생각","가요","쓰다","프레임","주다","금액"
"설치","쓰다","주다","받다","디오스","알다","끄다","크다","사다","김치냉장고"
"저렴하다","고무","제품","직수","돌아가다","괜찮다","추천","괜찮다","티비","가능"
"좋다","도면","받다","설치","기사","구입","메탈","전쟁","쓰다","그룹"
"받다","벽걸이","부탁드리다","가능","딤채","싶다","매직스페이스","바꾸다","구매","사례"
"이번","청소","인치","지원","김치냉장고","사용","노트북","작다","가격","사용자"
"가능","커버","전자","바꾸다","통돌이","낫다","구매","세탁기","들다","시간"
"가격","세탁","가전","쓰다","삼성","등급","나오다","계시다","오다","오케스트라"
"차이","들다","이마트","사용","않다","알리다","강화유리","세탁","제품","철거"
"나오다","삼성","가격","주세요","듀얼","세탁기","쇼케이스","구매","고민","컬렉션"
"구매","구입","싶다","동양매직","예민하다","엘지","푸드","좋다","직구","업체"
"매장","꼬망스","매장","사은품","컴프레서","나오다","빌트인","용량","딤채","들다"
"올리다","넣다","사다","퓨리","크다","기사","먼지","싶다","혼수","양문"
"트윈워시","분해","괜찮다","할인","구입","추천","사용","금액","생각","에어컨"
"이불","앙카다","백화점","좋다","심하다","사다","제품","드럼","마음","알다"
"이것","위치","매직스페이스","모델","베스트샵","계시다","좋다","사용","크다","나오다"
"기능","인원","메탈","냉온","지다","고민","가격","사다","가전제품","내부"
"드럼","표시","생각","상담","사용","소음","주다","않다","알아보다","더블"
"싶다","설치","통돌이","신한카드","그러다","기다리다","싶다","삼성","않다","들어오다"
"세제","나오다","트윈워시","참여","긁다","부품","드리다","정치","인치","붙박이"
"먹다","걸리다","안녕","않다","똑같다","쇼케이스","나다","조선일보","기능","스퀘어"
